annotation_id,split,selection_category,sample_key,visual_path,sample_class,sample_id,semantic_class,counts_as_active_fire_yes_no_uncertain,visible_flame_yes_no_uncertain,residual_heat_or_hot_ground_yes_no_uncertain,smoke_occlusion_yes_no_uncertain,registration_mismatch_yes_no_uncertain,pseudo_label_semantic_ambiguity_yes_no,pseudo_label_missing_active_fire_yes_no_uncertain,pixel_mask_status,completed_mask_path,notes,timestamp,time_block_id,space_cluster_id,selection_reason,previously_reviewed_yes_no,prior_audit_ids,prior_primary_causes,prior_counts_as_active_fire,max_temperature_c,mean_temperature_c,fire_ratio,ignore_ratio,noncore_hot_ratio,corrected_rgb_path,raw_thermal_path,thermal_tiff_path,pseudo_label_path,pseudo_mask_seed_path
A001,val,reviewed_validation,fire/00001,C:\Users\钱鹏程QQ78293044\Documents\论文2\flame3_semantic_annotation_subset_150_20260808_final\visuals\A001_fire_00001.jpg,Fire,00001,,,,,,,,,not_started,,,2022-10-26 19:00:51,2,,Previously reviewed Fusion FN/FP/TP validation image retained for full-image semantic adjudication and optional pixel annotation.,yes,001_FN;002_FN;003_FN;004_FN;005_FN;053_TP,标签不确定;烟雾遮挡,yes,573.0159301757812,12.966687202453613,0.021209716796875,0.027008056640625,0.0018341064453125,G:\xiaz\FLAME 3 CV Dataset (Sycan Marsh)\Fire\RGB\Corrected FOV\00001.JPG,G:\xiaz\FLAME 3 CV Dataset (Sycan Marsh)\Fire\Thermal\Raw JPG\00001.JPG,G:\xiaz\FLAME 3 CV Dataset (Sycan Marsh)\Fire\Thermal\Celsius TIFF\00001.TIFF,G:\py2\experiments\flame3_temperature_pseudolabels_preregistered\train_mask_templates\fire\00001.png,C:\Users\钱鹏程QQ78293044\Documents\论文2\flame3_semantic_annotation_subset_150_20260808_final\pseudo_mask_seeds\A001.png
A002,val,reviewed_validation,fire/00008,C:\Users\钱鹏程QQ78293044\Documents\论文2\flame3_semantic_annotation_subset_150_20260808_final\visuals\A002_fire_00008.jpg,Fire,00008,,,,,,,,,not_started,,,2022-10-27 15:27:11,4,,Previously reviewed Fusion FN/FP/TP validation image retained for full-image semantic adjudication and optional pixel annotation.,yes,006_FN,火焰边缘,yes,595.8817749023438,12.946344375610352,0.00543212890625,0.0052886962890625,0.0001312255859375,G:\xiaz\FLAME 3 CV Dataset (Sycan Marsh)\Fire\RGB\Corrected FOV\00008.JPG,G:\xiaz\FLAME 3 CV Dataset (Sycan Marsh)\Fire\Thermal\Raw JPG\00008.JPG,G:\xiaz\FLAME 3 CV Dataset (Sycan Marsh)\Fire\Thermal\Celsius TIFF\00008.TIFF,G:\py2\experiments\flame3_temperature_pseudolabels_preregistered\train_mask_templates\fire\00008.png,C:\Users\钱鹏程QQ78293044\Documents\论文2\flame3_semantic_annotation_subset_150_20260808_final\pseudo_mask_seeds\A002.png
A003,val,reviewed_validation,fire/00019,C:\Users\钱鹏程QQ78293044\Documents\论文2\flame3_semantic_annotation_subset_150_20260808_final\visuals\A003_fire_00019.jpg,Fire,00019,,,,,,,,,not_started,,,2022-10-27 17:11:07,6,,Previously reviewed Fusion FN/FP/TP validation image retained for full-image semantic adjudication and optional pixel annotation.,yes,007_FN;008_FN,低温弱火,yes,547.9366455078125,19.421628952026367,0.0247283935546875,0.03121337890625,0.0021697998046875,G:\xiaz\FLAME 3 CV Dataset (Sycan Marsh)\Fire\RGB\Corrected FOV\00019.JPG,G:\xiaz\FLAME 3 CV Dataset (Sycan Marsh)\Fire\Thermal\Raw JPG\00019.JPG,G:\xiaz\FLAME 3 CV Dataset (Sycan Marsh)\Fire\Thermal\Celsius TIFF\00019.TIFF,G:\py2\experiments\flame3_temperature_pseudolabels_preregistered\train_mask_templates\fire\00019.png,C:\Users\钱鹏程QQ78293044\Documents\论文2\flame3_semantic_annotation_subset_150_20260808_final\pseudo_mask_seeds\A003.png
A004,val,reviewed_validation,fire/00020,C:\Users\钱鹏程QQ78293044\Documents\论文2\flame3_semantic_annotation_subset_150_20260808_final\visuals\A004_fire_00020.jpg,Fire,00020,,,,,,,,,not_started,,,2022-10-27 15:27:02,4,,Previously reviewed Fusion FN/FP/TP validation image retained for full-image semantic adjudication and optional pixel annotation.,yes,009_FN;010_FN,火焰边缘,yes,608.6897583007812,16.407079696655273,0.0066162109375,0.0052001953125,6.103515625e-05,G:\xiaz\FLAME 3 CV Dataset (Sycan Marsh)\Fire\RGB\Corrected FOV\00020.JPG,G:\xiaz\FLAME 3 CV Dataset (Sycan Marsh)\Fire\Thermal\Raw JPG\00020.JPG,G:\xiaz\FLAME 3 CV Dataset (Sycan Marsh)\Fire\Thermal\Celsius TIFF\00020.TIFF,G:\py2\experiments\flame3_temperature_pseudolabels_preregistered\train_mask_templates\fire\00020.png,C:\Users\钱鹏程QQ78293044\Documents\论文2\flame3_semantic_annotation_subset_150_20260808_final\pseudo_mask_seeds\A004.png
A005,val,reviewed_validation,fire/00057,C:\Users\钱鹏程QQ78293044\Documents\论文2\flame3_semantic_annotation_subset_150_20260808_final\visuals\A005_fire_00057.jpg,Fire,00057,,,,,,,,,not_started,,,2022-10-27 17:12:10,6,,Previously reviewed Fusion FN/FP/TP validation image retained for full-image semantic adjudication and optional pixel annotation.,yes,011_FN;025_FN,小火/远距离火;火焰边缘,yes,584.4127197265625,27.096603393554688,0.04398193359375,0.0544464111328125,0.0045654296875,G:\xiaz\FLAME 3 CV Dataset (Sycan Marsh)\Fire\RGB\Corrected FOV\00057.JPG,G:\xiaz\FLAME 3 CV Dataset (Sycan Marsh)\Fire\Thermal\Raw JPG\00057.JPG,G:\xiaz\FLAME 3 CV Dataset (Sycan Marsh)\Fire\Thermal\Celsius TIFF\00057.TIFF,G:\py2\experiments\flame3_temperature_pseudolabels_preregistered\train_mask_templates\fire\00057.png,C:\Users\钱鹏程QQ78293044\Documents\论文2\flame3_semantic_annotation_subset_150_20260808_final\pseudo_mask_seeds\A005.png
A006,val,reviewed_validation,fire/00393,C:\Users\钱鹏程QQ78293044\Documents\论文2\flame3_semantic_annotation_subset_150_20260808_final\visuals\A006_fire_00393.jpg,Fire,00393,,,,,,,,,not_started,,,2022-10-27 17:12:04,6,,Previously reviewed Fusion FN/FP/TP validation image retained for full-image semantic adjudication and optional pixel annotation.,yes,012_FN,烟雾遮挡,yes,592.6005859375,24.42571258544922,0.0353424072265625,0.0508148193359375,0.0038360595703125,G:\xiaz\FLAME 3 CV Dataset (Sycan Marsh)\Fire\RGB\Corrected FOV\00393.JPG,G:\xiaz\FLAME 3 CV Dataset (Sycan Marsh)\Fire\Thermal\Raw JPG\00393.JPG,G:\xiaz\FLAME 3 CV Dataset (Sycan Marsh)\Fire\Thermal\Celsius TIFF\00393.TIFF,G:\py2\experiments\flame3_temperature_pseudolabels_preregistered\train_mask_templates\fire\00393.png,C:\Users\钱鹏程QQ78293044\Documents\论文2\flame3_semantic_annotation_subset_150_20260808_final\pseudo_mask_seeds\A006.png
A007,val,reviewed_validation,fire/00037,C:\Users\钱鹏程QQ78293044\Documents\论文2\flame3_semantic_annotation_subset_150_20260808_final\visuals\A007_fire_00037.jpg,Fire,00037,,,,,,,,,not_started,,,2022-10-27 17:11:55,6,,Previously reviewed Fusion FN/FP/TP validation image retained for full-image semantic adjudication and optional pixel annotation.,yes,013_FN;058_TP,RGB/IR错位,yes,491.5666198730469,23.59502410888672,0.0245330810546875,0.0428955078125,0.0043731689453125,G:\xiaz\FLAME 3 CV Dataset (Sycan Marsh)\Fire\RGB\Corrected FOV\00037.JPG,G:\xiaz\FLAME 3 CV Dataset (Sycan Marsh)\Fire\Thermal\Raw JPG\00037.JPG,G:\xiaz\FLAME 3 CV Dataset (Sycan Marsh)\Fire\Thermal\Celsius TIFF\00037.TIFF,G:\py2\experiments\flame3_temperature_pseudolabels_preregistered\train_mask_templates\fire\00037.png,C:\Users\钱鹏程QQ78293044\Documents\论文2\flame3_semantic_annotation_subset_150_20260808_final\pseudo_mask_seeds\A007.png
A008,val,reviewed_validation,fire/00508,C:\Users\钱鹏程QQ78293044\Documents\论文2\flame3_semantic_annotation_subset_150_20260808_final\visuals\A008_fire_00508.jpg,Fire,00508,,,,,,,,,not_started,,,2022-10-27 17:12:16,6,,Previously reviewed Fusion FN/FP/TP validation image retained for full-image semantic adjudication and optional pixel annotation.,yes,014_FN;067_TP,烟雾遮挡,yes,608.6897583007812,28.359716415405273,0.0420166015625,0.0502166748046875,0.002789306640625,G:\xiaz\FLAME 3 CV Dataset (Sycan Marsh)\Fire\RGB\Corrected FOV\00508.JPG,G:\xiaz\FLAME 3 CV Dataset (Sycan Marsh)\Fire\Thermal\Raw JPG\00508.JPG,G:\xiaz\FLAME 3 CV Dataset (Sycan Marsh)\Fire\Thermal\Celsius TIFF\00508.TIFF,G:\py2\experiments\flame3_temperature_pseudolabels_preregistered\train_mask_templates\fire\00508.png,C:\Users\钱鹏程QQ78293044\Documents\论文2\flame3_semantic_annotation_subset_150_20260808_final\pseudo_mask_seeds\A008.png
A009,val,reviewed_validation,fire/00042,C:\Users\钱鹏程QQ78293044\Documents\论文2\flame3_semantic_annotation_subset_150_20260808_final\visuals\A009_fire_00042.jpg,Fire,00042,,,,,,,,,not_started,,,2022-10-27 17:10:55,6,,Previously reviewed Fusion FN/FP/TP validation image retained for full-image semantic adjudication and optional pixel annotation.,yes,015_FN,低温弱火,yes,608.6897583007812,30.70859146118164,0.0352935791015625,0.0330810546875,0.0027191162109375,G:\xiaz\FLAME 3 CV Dataset (Sycan Marsh)\Fire\RGB\Corrected FOV\00042.JPG,G:\xiaz\FLAME 3 CV Dataset (Sycan Marsh)\Fire\Thermal\Raw JPG\00042.JPG,G:\xiaz\FLAME 3 CV Dataset (Sycan Marsh)\Fire\Thermal\Celsius TIFF\00042.TIFF,G:\py2\experiments\flame3_temperature_pseudolabels_preregistered\train_mask_templates\fire\00042.png,C:\Users\钱鹏程QQ78293044\Documents\论文2\flame3_semantic_annotation_subset_150_20260808_final\pseudo_mask_seeds\A009.png
A010,val,reviewed_validation,fire/00444,C:\Users\钱鹏程QQ78293044\Documents\论文2\flame3_semantic_annotation_subset_150_20260808_final\visuals\A010_fire_00444.jpg,Fire,00444,,,,,,,,,not_started,,,2022-10-27 17:10:43,6,,Previously reviewed Fusion FN/FP/TP validation image retained for full-image semantic adjudication and optional pixel annotation.,yes,016_FN,烟雾遮挡,yes,608.6897583007812,31.770498275756836,0.032440185546875,0.034161376953125,0.002618408203125,G:\xiaz\FLAME 3 CV Dataset (Sycan Marsh)\Fire\RGB\Corrected FOV\00444.JPG,G:\xiaz\FLAME 3 CV Dataset (Sycan Marsh)\Fire\Thermal\Raw JPG\00444.JPG,G:\xiaz\FLAME 3 CV Dataset (Sycan Marsh)\Fire\Thermal\Celsius TIFF\00444.TIFF,G:\py2\experiments\flame3_temperature_pseudolabels_preregistered\train_mask_templates\fire\00444.png,C:\Users\钱鹏程QQ78293044\Documents\论文2\flame3_semantic_annotation_subset_150_20260808_final\pseudo_mask_seeds\A010.png
