method_id,display_name,stage,split_id,miou,latency_ms_median,parameters,gflops,status,notes
deconv_d2,Fusion + DEConv D2,30e screen,flame2_val_label_fix_seed200,,,,,pending_paired_latency,One of the five closed Route A modules
mproto_p1,Fusion + mproto P1,30e screen,flame2_val_label_fix_seed200,,,,,pending_paired_latency,Training-only prototype supervision; inference architecture equals Fusion
dysample_pag4,Fusion + DySample Pag4,30e screen,flame2_val_label_fix_seed200,,,,,pending_paired_latency,One of the five closed Route A modules
dysample_context,Fusion + DySample Context,engineering only,flame2_val_label_fix_seed200,,,,,untrained_no_miou,Do not invent mIoU
freqfusion_pag3,Fusion + FreqFusion Pag3,engineering only,flame2_val_label_fix_seed200,,,,,untrained_no_miou,Do not invent mIoU
tgm,Fusion + TGM,engineering only,flame2_val_label_fix_seed200,,22.551228499999993,7635252.0,3.0077,engineering_passed_30fps_untrained,No mIoU until the frozen 30e screen completes
samf_tgm,Fusion + SAMF + TGM,Route C historical combination,flame2_val_label_fix_seed200,,,,,superseded_by_amendment_5,Not one of the two newly authorized configurations
abl_samf,Fusion + ABL + SAMF,Route C combination,flame2_val_label_fix_seed200,,,,,conditional_on_positive_tgm,One 30e screen only if standalone TGM is positive
abl_samf_tgm,Fusion + ABL + SAMF + TGM,Route C combination,flame2_val_label_fix_seed200,,,,,conditional_on_positive_tgm,One 30e screen only if standalone TGM is positive
robofirefusenet,RoboFireFuseNet,external comparison,flame2_val_label_fix_seed200,,,,,pending_same_split_evaluation,Do not use paper-reported metrics from another split/protocol
